UID,Key,EN,CN
78,init_lv606,,过度的汹涌，
79,init_lv607,,保留恰如其分的灵感。
80,init_lv608,,在发明灯泡以前，
81,intro_line_1,"Friday night. Get back home, <b>things</b> emerges from darkness.",周五晚上，打开房门，回到漆黑的家中，黑暗之中<b>万物</b>浮现。
82,intro_line_2,"On the way to work, passing through a river, <b>things</b> emerges from the voice of the winds",走在上班的路上，路过一条小河，树叶的婆娑声中夹杂着<b>万物</b>。
83,levelname_lv101,8:00 PM,8:00 PM
84,levelname_lv102,10:00 PM,10:00 PM
85,levelname_lv103,1:00 AM,1:00 AM
86,levelname_lv104,2:00 AM,2:00 AM
87,levelname_lv105,3:00 AM,3:00 AM
88,levelname_lv106,4:00 AM,4:00 AM
89,levelname_lv107,5:00 AM,5:00 AM
90,levelname_lv108,6:00 AM,6:00 AM
91,levelname_lv201,Coin,硬币
92,levelname_lv202,Greek Drachma,德拉克马
93,levelname_lv203,Ban Liang,秦半两
94,levelname_lv204,Dinar,达里克
95,levelname_lv205,Bezant,贝卡特
96,levelname_lv206,Pound Sterling,英镑
97,levelname_lv207,Maple Leaf coin,枫叶币
98,levelname_lv208,Bitcoin,比特币
99,levelname_lv401,Nigiri,寿司
100,levelname_lv402,Ahi,金枪鱼
101,levelname_lv403,Ebi,虎虾
102,levelname_lv404,Ikura,鱼子
103,levelname_lv405,Sake,三文鱼
104,levelname_lv406,Tako,章鱼
105,levelname_lv407,Toro,大腹
106,levelname_lv408,Uni,海胆
107,levelname_lv501,Moon,月亮
108,levelname_lv502,New Moon,新月
109,levelname_lv503,Waxing Crescent,眉月
110,levelname_lv504,First Quarter,上弦月
111,levelname_lv505,Full Moon,满月
112,levelname_lv506,Last Quarter,下弦月
113,levelname_lv507,Wanning Crescent,残月
114,levelname_lv508,Eclipse,月食
115,levelname_lv601,1,1
116,levelname_lv602,2,2
117,levelname_lv603,3,3
118,levelname_lv604,4,4
119,levelname_lv605,5,5
120,levelname_lv606,6,6
121,levelname_lv607,7,7
122,levelname_lv608,8,8
123,play1_lv104,,开启新的节律，
124,play1_lv106,,在黑暗中跋涉。
125,play1_lv107,,最终抵达晨曦。
126,play1_lv108,,是时候休息了。
127,play1_lv203,,始终保持着两面。
128,play1_lv204,,也可能是盲从；
129,play1_lv205,,或者叫放弃。
130,play1_lv206,,创造命运的波澜。
131,play1_lv207,,等待宿命落下的回响。
132,play1_lv208,,就用智慧进行解读。
133,play1_lv402,,晶莹剔透。
134,play1_lv403,,在碗中勾勒出弧线。
135,play1_lv404,,创造出寿司细腻的口感。
136,play1_lv405,,就开启了饭团丰盈的味觉。
137,play1_lv406,,却交织出丰富组合。
138,play1_lv407,,诉说简约的美。
139,play1_lv408,,表达对味觉的深刻理解。
140,play1_lv502,,圆缺变迁。
141,play1_lv503,,是夜空的指引。
142,play1_lv504,,散播混沌。
143,play1_lv505,,你在迷惘中前行。
144,play1_lv506,,让秩序浮现。
145,play1_lv507,,藏着更深的规则。
146,play1_lv508,,获得再次的掌控。
147,play1_lv605,,产生璀璨的印记。
148,play1_lv606,,让你失去了方向。
149,play1_lv608,,在那无边黑暗的岁月里，
150,play2_lv608,,光明永驻于心间。
151,rule1_lv101,Cell Played +1,打出的格子 +1
152,rule1_lv201,Head - Cell Played +1,正 - 打出的格子 +1
153,rule1_lv204,Head - Cell Played +X,正 - 打出的格子 +X
154,rule1_lv401,Fish: +3,鱼： +3
155,rule1_lv501,Crescent: +1,新月：+1
156,rule1_lv601,Played cell +1,打出的格子 +1
157,rule1_lv603,Played and adjacent cells +1,打出及相邻的格子 +1
158,rule2_lv103,Cell already with a Clock +1,已有时钟的格子 +1
159,rule2_lv202,Tail - Cell Played -1,反 - 打出的格子 -1
160,rule2_lv205,Tail - Cell Played -X,反 - 打出的格子 -X
161,rule2_lv403,Rice: -3,米： -3
162,rule2_lv501,Quarter: +3,弦月：+3
163,rule2_lv601,Cell is turned ON,与两个或以上的相同数字相邻
164,rule3_lv204,X is the number of coins in a Cell,X为格子内硬币数
165,rule3_lv404,Sushi(Rice+Fish): =7,寿司（米+鱼）： =7
166,rule3_lv502,Full: +5,满月：+5
167,rule3_lv601,  when adjacent to 2+ same numbers,  则点亮格子
168,rule4_lv203,FLIP the coin after play,打出后硬币翻面
169,rule4_lv207,TOSS the coin after play,打出后投掷硬币
170,rule4_lv405,Onigiri(Rice+Fish): =2,饭团（鱼+米）： =2
171,rule4_lv504,Eclipse(Full + 9): All cells -5,9+满月：月食
172,rule5_lv403,Fish and Rice alternate,鱼和米交替出现
173,rule5_lv503,10+: Sunrise! LOSE,超过9：太阳升起，游戏失败
174,theme_manifesto_1,,时钟是第一个主题，它的出现比游戏名“万物之数字还要早。一定程度上，它是整个游戏项目开始的起点。熬夜却无所事事是一种表面上珍惜时间，却又慌乱地浪费了时间的行为。时钟主题想通过这个情景来表达个体在时光流逝面前的无力。
175,theme_manifesto_2,,硬币是第二个主题，它的灵感来源于投掷硬币。但我希望即使命运的一定程度上被投掷的结果所影响，人运用自己的智慧依然可以根据结果动态地做出有利于自己的应对对策。
176,theme_manifesto_4,,寿司是第三个主题，也是在demo之后的第一个正式主题。表达的要点是日本料理中运用简单食材，通过不同的烹调、比重、组合的方式产生食物种类、口感、味道上丰富可能。在实际的谜题中展现为通过两种食材的次序，就可以产生迥然相异的结果。
177,theme_manifesto_5,,月亮全部的开发焦点在于用月食机制将情绪推向最高潮，日期的铺垫，月相的规律，月食的反向减法，全屏幕视觉特效都是在为此努力。希望玩家在第一次见到月食效果时，心中有过一丝触动。
178,theme_manifesto_6,,灯泡的原型来源是大学计算机课程中一道经典的动态规划问题：灯泡问题。把原本是计算机才能解决的问题让人脑来解决，最大的挑战就是如何做得更加简单更加直观。最终的谜题依然有些复杂了，这是在保留问题精髓情况下能达到的最好结果。
179,themedesc_long_tm1,<b>时间</b>永不停歇。,<b>时间</b>永不停歇。
180,themedesc_long_tm2,<b>硬币</b>记录历史。,<b>硬币</b>记录历史。
181,themedesc_long_tm4,<b>寿司</b>简约又复杂。,<b>寿司</b>简约又复杂。
182,themedesc_long_tm5,<b>月亮</b>静静地见证。,<b>月亮</b>静静地见证。
183,themedesc_long_tm6,<b>灯泡</b>代表着灵感。,<b>灯泡</b>代表着灵感。
184,themedesc_short_tm1,,永不停歇。
185,themedesc_short_tm2,,记录历史。
186,themedesc_short_tm4,,简约又复杂。
187,themedesc_short_tm5,,静静地见证。
188,themedesc_short_tm6,,代表着灵感。
189,themename_tm1,Clock,时钟
190,themename_tm2,Coin,硬币
191,themename_tm4,Sushi,寿司
192,themename_tm5,Moon,月亮
193,themename_tm6,Lightbulb,灯泡
194,tool_name_theme2_status0,Front,正面
195,tool_name_theme2_status1,Tail,反面
196,tool_name_theme4_status1,Fish,鱼生
197,tool_name_theme4_status2,Rice,白米
198,tool_name_theme5_status1,Crescent,新月
199,tool_name_theme5_status2,Quarter,弦月
200,tool_name_theme5_status3,Full,满月
201,tool_name_theme5_status4,Quarter,弦月
202,tool_name_theme5_status5,Crescent,新月
203,ui_designer_note_title,Designer's Notes,制作笔记
204,ui_goal_current_sum,Current Sum: ,当前数字之和：
205,ui_goal_section_title,Goal,目标
206,ui_ruleset_title,Rules,规则
